kab_kota,jumlah_penduduk,jumlah_siswa,ats,lat,lon
Kab. Asahan,175,253,5.935,2.9833,99.6333
Kab. Batubara,212,178,2.443,3.2167,99.5
Kab. Dairi,144,29,1.301,2.7417,98.3125
Kab. Deli Serdang,637,956,9.158,3.5482,98.7837
Kab. Humbang Hasundutan,138,77,849,2.33,98.5
Kab. Karo,155,180,3.512,3.105,98.2656
Kab. Labuhanbatu,140,97,3.992,2.1,100
Kab. Labuhanbatu Selatan,53,0,2.929,1.9833,100.0833
Kab. Labuhanbatu Utara,359,106,3.483,2.35,99.75
Kab. Langkat,249,192,4.983,3.728,98.4513
Kab. Mandailing Natal,156,114,7.993,0.7432,99.5553
Kab. Nias,70,0,1.553,1.0333,97.7333
Kab. Nias Barat,93,25,1.611,1,97.5667
Kab. Nias Selatan,279,0,15.872,0.5833,97.8167
Kab. Nias Utara,121,0,1.88,1.3,97.6
Kab. Padang Lawas,261,0,1.608,1.25,99.75
Kab. Padang Lawas Utara,63,71,4.469,1.5,99.75
Kab. Pakpak Bharat,157,24,188,2.55,98.3
Kab. Samosir,84,0,447,2.5833,98.7
Kab. Serdang Bedagai,257,140,2.861,3.3333,99.0833
Kab. Simalungun,340,131,12.941,2.9,99.0833
Kab. Tapanuli Selatan,229,73,2.064,1.5,99.25
Kab. Tapanuli Tengah,164,32,3.631,1.75,98.7833
Kab. Tapanuli Utara,138,67,1.286,2.0173,98.9668
Kab. Toba,83,70,1.577,2.35,99
Kota Binjai,176,380,1.067,3.5986,98.4854
Kota Gunungsitoli,113,197,579,1.2833,97.6167
Kota Medan,1145,1320,14.557,3.5952,98.6722
Kota Padangsidimpuan,93,143,885,1.3786,99.2731
Kota Pematangsiantar,184,171,786,2.9603,99.062
Kota Sibolga,43,65,386,1.74,98.78
Kota Tanjungbalai,66,111,657,2.9667,99.8
Kota Tebing Tinggi,155,249,285,3.3274,99.1623
,,,,,
Rangkuman Individu Wilayah - Verval ATS Pusdatin Kemendikdasmen,,,,,
